sample_id	donor_id	bam	strandness	read_length
DD010RP2	DD010RP2	/projects/talisman/shared-data/HAEC-185/bams/DD010RP2.markdup.sorted.bam	rf	101
DD062OP2	DD062OP2	/projects/talisman/shared-data/HAEC-185/bams/DD062OP2.markdup.sorted.bam	rf	101
UNM16	UNM16	/projects/talisman/shared-data/HAEC-185/bams/UNM16.markdup.sorted.bam	rf	101
DD034QP1	DD034QP1	/projects/talisman/shared-data/HAEC-185/bams/DD034QP1.markdup.sorted.bam	rf	101
DD022OP2	DD022OP2	/projects/talisman/shared-data/HAEC-185/bams/DD022OP2.markdup.sorted.bam	rf	101
DD043PP2	DD043PP2	/projects/talisman/shared-data/HAEC-185/bams/DD043PP2.markdup.sorted.bam	rf	101
DD022Q	DD022Q	/projects/talisman/shared-data/HAEC-185/bams/DD022Q.markdup.sorted.bam	rf	101
DD008PP2	DD008PP2	/projects/talisman/shared-data/HAEC-185/bams/DD008PP2.markdup.sorted.bam	rf	101
DD050PP2	DD050PP2	/projects/talisman/shared-data/HAEC-185/bams/DD050PP2.markdup.sorted.bam	rf	101
DD033QP2	DD033QP2	/projects/talisman/shared-data/HAEC-185/bams/DD033QP2.markdup.sorted.bam	rf	101
DD029PP2	DD029PP2	/projects/talisman/shared-data/HAEC-185/bams/DD029PP2.markdup.sorted.bam	rf	101
UNM10	UNM10	/projects/talisman/shared-data/HAEC-185/bams/UNM10.markdup.sorted.bam	rf	101
DD050QP2	DD050QP2	/projects/talisman/shared-data/HAEC-185/bams/DD050QP2.markdup.sorted.bam	rf	101
UNM18	UNM18	/projects/talisman/shared-data/HAEC-185/bams/UNM18.markdup.sorted.bam	rf	101
DD051PP1	DD051PP1	/projects/talisman/shared-data/HAEC-185/bams/DD051PP1.markdup.sorted.bam	rf	101
UNM27	UNM27	/projects/talisman/shared-data/HAEC-185/bams/UNM27.markdup.sorted.bam	rf	101
DD058OP2	DD058OP2	/projects/talisman/shared-data/HAEC-185/bams/DD058OP2.markdup.sorted.bam	rf	101
NJ19	NJ19	/projects/talisman/shared-data/HAEC-185/bams/NJ19.markdup.sorted.bam	rf	101
DD071K	DD071K	/projects/talisman/shared-data/HAEC-185/bams/DD071K.markdup.sorted.bam	rf	101
UNM22	UNM22	/projects/talisman/shared-data/HAEC-185/bams/UNM22.markdup.sorted.bam	rf	101
DD064OP2	DD064OP2	/projects/talisman/shared-data/HAEC-185/bams/DD064OP2.markdup.sorted.bam	rf	101
DD020QP1	DD020QP1	/projects/talisman/shared-data/HAEC-185/bams/DD020QP1.markdup.sorted.bam	rf	101
DD007PP2	DD007PP2	/projects/talisman/shared-data/HAEC-185/bams/DD007PP2.markdup.sorted.bam	rf	101
DD024PP2	DD024PP2	/projects/talisman/shared-data/HAEC-185/bams/DD024PP2.markdup.sorted.bam	rf	101
DD053PP1	DD053PP1	/projects/talisman/shared-data/HAEC-185/bams/DD053PP1.markdup.sorted.bam	rf	101
DD007RP2	DD007RP2	/projects/talisman/shared-data/HAEC-185/bams/DD007RP2.markdup.sorted.bam	rf	101
DD067N	DD067N	/projects/talisman/shared-data/HAEC-185/bams/DD067N.markdup.sorted.bam	rf	101
DD028OP2	DD028OP2	/projects/talisman/shared-data/HAEC-185/bams/DD028OP2.markdup.sorted.bam	rf	101
NJ45	NJ45	/projects/talisman/shared-data/HAEC-185/bams/NJ45.markdup.sorted.bam	rf	101
DD033OP2	DD033OP2	/projects/talisman/shared-data/HAEC-185/bams/DD033OP2.markdup.sorted.bam	rf	101
DD009OP2	DD009OP2	/projects/talisman/shared-data/HAEC-185/bams/DD009OP2.markdup.sorted.bam	rf	101
DD068K	DD068K	/projects/talisman/shared-data/HAEC-185/bams/DD068K.markdup.sorted.bam	rf	101
DD050N	DD050N	/projects/talisman/shared-data/HAEC-185/bams/DD050N.markdup.sorted.bam	rf	101
DD061PP2	DD061PP2	/projects/talisman/shared-data/HAEC-185/bams/DD061PP2.markdup.sorted.bam	rf	101
DD075K	DD075K	/projects/talisman/shared-data/HAEC-185/bams/DD075K.markdup.sorted.bam	rf	101
DD049JP2	DD049JP2	/projects/talisman/shared-data/HAEC-185/bams/DD049JP2.markdup.sorted.bam	rf	101
DD049OP2	DD049OP2	/projects/talisman/shared-data/HAEC-185/bams/DD049OP2.markdup.sorted.bam	rf	101
DD076PP2	DD076PP2	/projects/talisman/shared-data/HAEC-185/bams/DD076PP2.markdup.sorted.bam	rf	101
DD035N	DD035N	/projects/talisman/shared-data/HAEC-185/bams/DD035N.markdup.sorted.bam	rf	101
DD012RP2	DD012RP2	/projects/talisman/shared-data/HAEC-185/bams/DD012RP2.markdup.sorted.bam	rf	101
DD014PP2	DD014PP2	/projects/talisman/shared-data/HAEC-185/bams/DD014PP2.markdup.sorted.bam	rf	101
T22	T22	/projects/talisman/shared-data/HAEC-185/bams/T22.markdup.sorted.bam	rf	101
DD033N	DD033N	/projects/talisman/shared-data/HAEC-185/bams/DD033N.markdup.sorted.bam	rf	101
DD003O	DD003O	/projects/talisman/shared-data/HAEC-185/bams/DD003O.markdup.sorted.bam	rf	101
DD062N	DD062N	/projects/talisman/shared-data/HAEC-185/bams/DD062N.markdup.sorted.bam	rf	101
NJ41	NJ41	/projects/talisman/shared-data/HAEC-185/bams/NJ41.markdup.sorted.bam	rf	101
DD059PP2	DD059PP2	/projects/talisman/shared-data/HAEC-185/bams/DD059PP2.markdup.sorted.bam	rf	101
DD075OP2	DD075OP2	/projects/talisman/shared-data/HAEC-185/bams/DD075OP2.markdup.sorted.bam	rf	101
T46	T46	/projects/talisman/shared-data/HAEC-185/bams/T46.markdup.sorted.bam	rf	101
DD032N	DD032N	/projects/talisman/shared-data/HAEC-185/bams/DD032N.markdup.sorted.bam	rf	101
DD058PP2	DD058PP2	/projects/talisman/shared-data/HAEC-185/bams/DD058PP2.markdup.sorted.bam	rf	101
UNM11	UNM11	/projects/talisman/shared-data/HAEC-185/bams/UNM11.markdup.sorted.bam	rf	101
T36	T36	/projects/talisman/shared-data/HAEC-185/bams/T36.markdup.sorted.bam	rf	101
DD047N	DD047N	/projects/talisman/shared-data/HAEC-185/bams/DD047N.markdup.sorted.bam	rf	101
DD072OP2	DD072OP2	/projects/talisman/shared-data/HAEC-185/bams/DD072OP2.markdup.sorted.bam	rf	101
DD080PP2	DD080PP2	/projects/talisman/shared-data/HAEC-185/bams/DD080PP2.markdup.sorted.bam	rf	101
DD029N	DD029N	/projects/talisman/shared-data/HAEC-185/bams/DD029N.markdup.sorted.bam	rf	101
DD078PP1	DD078PP1	/projects/talisman/shared-data/HAEC-185/bams/DD078PP1.markdup.sorted.bam	rf	101
DD001QP1	DD001QP1	/projects/talisman/shared-data/HAEC-185/bams/DD001QP1.markdup.sorted.bam	rf	101
DD074OP2	DD074OP2	/projects/talisman/shared-data/HAEC-185/bams/DD074OP2.markdup.sorted.bam	rf	101
DD008OP2	DD008OP2	/projects/talisman/shared-data/HAEC-185/bams/DD008OP2.markdup.sorted.bam	rf	101
DD069PP2	DD069PP2	/projects/talisman/shared-data/HAEC-185/bams/DD069PP2.markdup.sorted.bam	rf	101
DD042N	DD042N	/projects/talisman/shared-data/HAEC-185/bams/DD042N.markdup.sorted.bam	rf	101
DD035G	DD035G	/projects/talisman/shared-data/HAEC-185/bams/DD035G.markdup.sorted.bam	rf	101
